155.2	54	34.9	1326.5	1
168.5	54.5	44.7	1614.6	0
175.1	66.9	52.4	1818.5	0
157.7	56.3	41.6	1491.3	0
157.4	50.3	35.7	1335.9	1
170	47	41.6	1556.9	0
153	44	31	1240.7	1
171	55	45.1	1650.8	0
156.3	53.2	35.6	1323.7	1
178	70	55.8	1914	0
181	70	55.4	1908.2	0
171	74	53.6	1785.7	0
171.6	76.8	56.2	1903.6	0
182	82	61.7	2082	0
161	64.5	46.3	1624.2	0
156	60	43.3	1507.5	0
188	59	52.1	1903	0
153.6	51.2	33.9	1303.1	1
157.5	35	29.5	1236.4	1
177	62	50.6	1779.2	0
168	54	44.8	1592.8	0
174.1	64	52.2	1785.3	0
169.3	55.7	45.5	1615.6	0
178	70	54.9	1914	0
171.3	79.3	57.7	1915.8	0
171.8	59.1	47.5	1692.8	0
171.2	54	43.6	1643	0
173.9	71	54.2	1858.8	0
180.5	73	57	1981.6	0
167	62	48.7	1662.5	0
167.3	69.5	51.5	1723.2	0
177	53.6	45.6	1711.9	0
174.7	59.6	49.8	1724	0
167	50	41.5	1550.6	0
169	55	44.9	1615.3	0
162.2	58.2	40.8	1419.1	1
156.7	46	33.3	1296.5	1
166	57	45.3	1609.2	0
161	50.9	41.3	1477.4	0
180	65	52.1	1851.1	0
163.6	53.6	43.2	1566.3	0
175	68	51.6	1863.2	0
182.5	77	57.8	2043.1	0
178	60	50.5	1793	0
173	65	50.2	1770.7	0
174	60	48.6	1730.3	0
173.5	63	50.2	1690	0
174.5	60.9	48.2	1768.4	0
157	48	33.9	1311.3	1
168	54	43.8	1592.8	0
180.2	108.8	75.6	2377.9	0
177	65	52.2	1834.1	0
171.5	58	47.7	1688.3	0
169	57.4	44.7	1608	0
174.2	90.6	63.5	2072.3	0
162	52	41.3	1500.1	0
174.6	65.4	51.2	1784.6	0
177	77	57.9	1990.8	0
172	64	50.6	1758.1	0
174	72	54.8	1859.7	0
175	82	59.4	1996.6	0
164	55	43.7	1564.4	0
174	56	47.3	1709.9	0
171.6	62.7	50.3	1728.1	0
162	59.6	43.5	1576	0
176	66.8	55.9	1840.6	0
169	62	49.5	1687.7	0
167	61	47	1609.5	0
173	68	52.1	1791.8	0
174	54	46.3	1656.6	0
159.7	54.6	36.4	1360.7	1
171	65	50.1	1755.9	0
177	70	57.3	1900.5	0
164	59	44.6	1605	0
171	68	58.5	1788	0
170.1	65.4	50	1726.6	0
157	40	30.9	1248.8	1
172.7	74.5	55.5	1858.5	0
158.6	40.9	32.1	1280.9	1
173.3	73.7	54.6	1892	0
154	42.6	31	1253.9	1
159	59	43	1492.5	0
168	62.5	48.9	1680.3	0
176	65	51.9	1832.2	0
168	61	48.8	1632.5	0
180	63	52.9	1851.9	0
166	46	35.6	1373.8	1
169.5	62	48.1	1694	0
164	52	40.4	1544.7	0
160.8	51	40.5	1486.2	0
174	81	60.7	1959.8	0
168	64.8	49.8	1726.2	0
178.5	69.5	55.5	1892.1	0
169	55	46.4	1625.9	0
173.4	67	52.1	1797.4	0
174.9	64	52	1784.6	0
178	75	56.7	1946.7	0
171	57.9	46.5	1681	0
178	80	64	1991.5	0
170	70	52.2	1785.4	0
173	60	49.5	1717.5	0
179.7	63.4	52.5	1852.3	0
160	48	38	1457.6	0
183	88	64.8	2191.2	0
165	50	37.6	1397.8	1
172	70	53.9	1800.3	0
157.7	49.3	34.7	1325.1	1
166	51	41.8	1538.2	0
180	61	50.6	1830	0
170	65	49.3	1743	0
159	46	33.6	1315.4	1
152.2	45.8	31.5	1258.8	1
178	74	55.1	1947.1	0
172	74	55	1821.2	0
170	70	54.3	1774.3	0
169.8	57.9	47.3	1655.1	0
167	59	46.9	1642.2	0
170.3	58.8	47.2	1670.7	0
170.7	66.8	50.9	1771.3	0
174	82	60.5	1994.6	0
179.9	68.2	52.9	1885	0
177.1	59.3	50.1	1784.9	0
170	50	42.3	1566.3	0
186.5	84.5	66.8	2175.2	0
177	85	61.6	2034.8	0
175	65	52.8	1830.4	0
165	60	45.7	1574.8	0
162	54	41.5	1519.9	0
163	48	40	1472.7	0
162	45.5	33.8	1330.1	1
170.9	84.2	59.5	1953.7	0
167.4	64.5	47.4	1704.5	0
155.5	46	36	1366.6	0
165	51	37.5	1397	1
175.5	72.7	54.8	1887.4	0
160.5	72.2	43.7	1487.9	1
184.2	81.2	61.5	2115.7	0
168	57	45.6	1623.4	0
168.7	65	49.4	1715.4	0
175.9	79.7	60	1994.6	0
169.4	53	43.8	1621	0
172	46	39.7	1560.8	0
188	90	69.4	2262.9	0
173	57	46.7	1696.8	0
167	66	49.2	1704.3	0
174.8	70.1	55.2	1838.1	0
171.7	60.6	48.3	1707.3	0
167	55.7	45.4	1597.8	0
174.6	60.8	49.8	1768.6	0
180	74.3	56.6	1989.5	0
171	61	48.5	1702.6	0
162.4	63.8	47.6	1613.1	0
172.9	61.5	51.1	1710.2	0
170.6	65.7	51.7	1714.2	0
178.4	63	51.1	1819.5	0
179.1	61	53	1807	0
178.3	57.3	46.3	1756.8	0
161.8	45.5	34.9	1321.4	1
156.1	45	31.9	1285.5	1
162.4	61.3	47.5	1619.3	0
159	50	35.7	1340.2	1
158.6	45.5	33.8	1302.1	1
170	60	48.8	1615.2	0
174.5	57	47.1	1715.9	0
161	48.5	39.8	1464.1	0
154.4	42.6	30.4	1257.2	1
155.9	50.1	34.7	1308.2	1
162.5	51.1	35.8	1362.2	1
164	54.6	44.2	1560.4	0
158.7	60.2	37.8	1402	1
170	53	43.8	1617.8	0
159	60	38.2	1396.1	1
175	57	42	1515.3	1
170.5	51.5	39.3	1454.7	1
160	55	37.1	1380	1
172.5	62	49.7	1732.3	0
170	57	46	1659	0
154	45	32.4	1268.5	1
171	60	41.5	1485	1
178.5	54.7	46.8	1753.8	0
169	55	41.3	1413.2	1
154	51	33.5	1305.1	1
176	78	58.6	1941.6	0
183.3	76	63	1890.7	0
175.3	62	51.5	1779.4	0
157	51.7	34.8	1320.1	1
175.9	68.9	52.8	1862.3	0
150	50	32.3	1232.3	1
163.6	50.9	36.6	1391.7	1
183.1	66.9	55.7	1925	0
174.3	63.1	50.1	1767.1	0
166.7	51	37.5	1411.5	1
165	50	37.4	1390.6	1
162.5	73.9	51.6	1643.6	0
161	60	39.9	1405.9	1
165	59	41.8	1441	1
160	50	36.7	1341.5	1
168	53.6	44.6	1588.7	0
173	63	50.9	1738.3	0
169	59	45.2	1656.5	0
155.3	50.9	34.8	1308.2	1
171	59	49.2	1681.6	0
160	47	34.3	1336.9	1
167	54	39.7	1433.3	1
156.5	48.8	34.3	1312.1	1
148.7	67.5	37.8	1349.5	1
170.4	78.5	55.9	1894.8	0
169.4	57.8	43	1478.8	1
172.5	94	68.2	2088	0
169.1	68.5	51.2	1768.7	0
154.2	56.9	35.8	1336.3	1
168	62	40.6	1420.5	1
163	65	46.5	1559.1	0
161	52	36.6	1355.3	1
161.5	58.5	39.5	1407.8	1
156	43.7	32	1235.8	1
166	58.6	45.9	1593.9	0
174	73.9	55	1880.6	0
162.5	51.5	37.7	1379	1
162	64.7	42	1459.4	1
176	72	56	1886.3	0
161	54	40.6	1518.2	0
174.2	65	54	1786.2	0
176	68.2	54.6	1855.9	0
157	47	33.3	1305.1	1
161	46.4	33.9	1334.5	1
167	66	49.7	1671.8	0
177	66	53.8	1845	0
172	60	50.5	1608.1	0
170	55	44.6	1638.3	0
161.8	49.4	35.8	1359.9	1
163	60	46	1613.4	0
181	76	58.8	1940.5	0
160	59	37.6	1405.4	1
166	55	44.6	1567.9	0
162.7	45.7	34.8	1337.2	1
167	51	39.6	1406.8	1
159	68	41.3	1440.1	1
